published,title,status,words,folder,url
2024-10-04,From SaaS to Robots,saved,1586,2024-10-04-from-saas-to-robots,https://steelforfuel.substack.com/p/from-saas-to-robots
2024-10-24,Some fun robot math,saved,363,2024-10-24-some-fun-robot-math,https://steelforfuel.substack.com/p/some-fun-robot-math
2024-10-29,The US is a natural gas superpower,saved,532,2024-10-29-the-us-is-a-natural-gas-superpower,https://steelforfuel.substack.com/p/the-us-is-a-natural-gas-superpower
2024-11-04,Why clean energy policy is probably more robust than you think,saved,248,2024-11-04-why-clean-energy-policy-is-probably-more-robust-than-you-think,https://steelforfuel.substack.com/p/why-clean-energy-policy-is-probably
2024-11-20,"For AI, energy is nothing, and energy is everything",saved,1007,2024-11-20-for-ai-energy-is-nothing-and-energy-is-everything,https://steelforfuel.substack.com/p/for-ai-energy-is-nothing-and-energy
2024-12-09,The geopolitics of electrification,saved,594,2024-12-09-the-geopolitics-of-electrification,https://steelforfuel.substack.com/p/the-geopolitics-of-electrification
2024-12-16,It's time to build! (light water reactors),saved,1138,2024-12-16-it-s-time-to-build-light-water-reactors,https://steelforfuel.substack.com/p/its-time-to-build-light-water-reactors
2025-01-10,Is the future of low-carbon industry off grid?,saved,1798,2025-01-10-is-the-future-of-low-carbon-industry-off-grid,https://steelforfuel.substack.com/p/is-the-future-of-low-carbon-industry
2025-01-31,Is Sodium the new Lithium (ion)?,saved,953,2025-01-31-is-sodium-the-new-lithium-ion,https://steelforfuel.substack.com/p/is-sodium-the-new-lithium
2025-02-09,A tale of two energy superpowers,saved,3850,2025-02-09-a-tale-of-two-energy-superpowers,https://steelforfuel.substack.com/p/a-tale-of-two-energy-superpowers
2025-02-27,Autonomy is real now,saved,1124,2025-02-27-autonomy-is-real-now,https://steelforfuel.substack.com/p/autonomy-is-real-now
2025-04-07,The price of power grids,saved,1640,2025-04-07-the-price-of-power-grids,https://steelforfuel.substack.com/p/the-price-of-power-grids
2025-04-17,"Steel for Fuel, Tariffs for Steel",saved,1060,2025-04-17-steel-for-fuel-tariffs-for-steel,https://steelforfuel.substack.com/p/steel-for-fuel-tariffs-for-steel
2025-04-28,So you want to revolutionize the energy system?,saved,2346,2025-04-28-so-you-want-to-revolutionize-the-energy-system,https://steelforfuel.substack.com/p/so-you-want-to-revolutionize-the
2025-05-28,An Ode to \,saved,3664,2025-05-28-an-ode-to-physical-ai,https://steelforfuel.substack.com/p/an-ode-to-physical-ai
2025-06-16,Why does nobody know how much energy AI will consume?,saved,5099,2025-06-16-why-does-nobody-know-how-much-energy-ai-will-consume,https://steelforfuel.substack.com/p/why-does-nobody-know-how-much-energy
2025-06-30,Full Steam Ahead,saved,2047,2025-06-30-full-steam-ahead,https://steelforfuel.substack.com/p/full-steam-ahead
2025-07-07,The EV revolution will NOT be subsidized,saved,1498,2025-07-07-the-ev-revolution-will-not-be-subsidized,https://steelforfuel.substack.com/p/the-ev-revolution-will-not-be-subsidized
2025-07-16,"On linemen, robots, hands, and brains",saved,1467,2025-07-16-on-linemen-robots-hands-and-brains,https://steelforfuel.substack.com/p/on-linemen-robots-hands-and-brains
2025-09-11,"Finally, the right time for Distributed Energy Resources",saved,3918,2025-09-11-finally-the-right-time-for-distributed-energy-resources,https://steelforfuel.substack.com/p/finally-the-right-time-for-distributed
2025-10-08,"Fusion, and other fusion-level bets: Part I",saved,4916,2025-10-08-fusion-and-other-fusion-level-bets-part-i,https://steelforfuel.substack.com/p/fusion-and-other-fusion-level-bets
2025-10-24,"Fusion, and other fusion-level bets: Part II",saved,6251,2025-10-24-fusion-and-other-fusion-level-bets-part-ii,https://steelforfuel.substack.com/p/fusion-and-other-fusion-level-bets-b27
2025-12-11,"Fusion, and other fusion-level bets: Part III",saved,5980,2025-12-11-fusion-and-other-fusion-level-bets-part-iii,https://steelforfuel.substack.com/p/fusion-and-other-fusion-level-bets-680
2026-03-03,The Return of the Energy Transition,saved,11869,2026-03-03-the-return-of-the-energy-transition,https://steelforfuel.substack.com/p/the-return-of-the-energy-transition
2026-03-13,The robots are coming,saved,3529,2026-03-13-the-robots-are-coming,https://steelforfuel.substack.com/p/the-robots-are-coming
2026-04-08,Duration is all you need,saved,2006,2026-04-08-duration-is-all-you-need,https://steelforfuel.substack.com/p/duration-is-all-you-need
2026-04-21,Be greedy (for electrons) when others are fearful,saved,1279,2026-04-21-be-greedy-for-electrons-when-others-are-fearful,https://steelforfuel.substack.com/p/be-greedy-for-electrons-when-others
2026-06-01,Riding the Electric Supercycle,saved,2745,2026-06-01-riding-the-electric-supercycle,https://steelforfuel.substack.com/p/riding-the-electric-supercycle
2026-06-18,The next industrial revolution and the \,saved,6054,2026-06-18-the-next-industrial-revolution-and-the-art-of-life-itself,https://steelforfuel.substack.com/p/the-next-industrial-revolution-and
2026-07-06,Data centers need the grid — so we have to make the grid better,saved,5518,2026-07-06-data-centers-need-the-grid-so-we-have-to-make-the-grid-better,https://steelforfuel.substack.com/p/data-centers-need-the-grid-so-we
2026-08-05,On data centers and energy \,saved,2764,2026-08-05-on-data-centers-and-energy-affordability,https://steelforfuel.substack.com/p/is-that-data-center-increasing-your
2026-09-21,"For AI, energy is nothing, and energy is everything (reprise)",saved,1719,2026-09-21-for-ai-energy-is-nothing-and-energy-is-everything-reprise,https://steelforfuel.substack.com/p/for-ai-energy-is-nothing-and-energy-88a
