published,title,status,words,folder,url
2025-01-30,"2025 trends: aerosols, oil demand, and carbon removal",saved,5406,2025-01-30-2025-trends-aerosols-oil-demand-and-carbon-removal,https://www.latitudemedia.com/news/catalyst-2025-trends-aerosols-oil-demand-and-carbon-removal/
2025-02-04,catalyst-are-utilities-ready-to-fully-harness-demand-flexibility,no transcript,,,https://www.latitudemedia.com/news/catalyst-are-utilities-ready-to-fully-harness-demand-flexibility/
2025-02-06,Catalyst: 2025 Climate Tech Trends,saved,7650,2025-02-06-catalyst-2025-climate-tech-trends,https://www.latitudemedia.com/news/catalyst-more-2025-trends-deepseek-plug-in-hybrids-and-curtailment/
2025-02-13,The case for colocating data centers and generation,saved,7871,2025-02-13-the-case-for-colocating-data-centers-and-generation,https://www.latitudemedia.com/news/catalyst-the-case-for-colocating-data-centers-and-generation/
2025-02-20,The promise and perils of sodium-ion batteries,saved,6581,2025-02-20-the-promise-and-perils-of-sodium-ion-batteries,https://www.latitudemedia.com/news/catalyst-promise-and-perils-of-sodium-ion-batteries/
2025-02-27,Cultivated meat industry faces 'trough of disillusionment',saved,6855,2025-02-27-cultivated-meat-industry-faces-trough-of-disillusionment,https://www.latitudemedia.com/news/catalyst-cultivated-meats-trough-of-disillusionment/
2025-03-06,A skeptic’s take on AI electricity load growth,saved,8399,2025-03-06-a-skeptic-s-take-on-ai-electricity-load-growth,https://www.latitudemedia.com/news/catalyst-a-skeptics-take-on-ai-electricity-load-growth/
2025-03-11,catalyst-how-ai-is-solving-real-utility-challenges,no transcript,,,https://www.latitudemedia.com/news/catalyst-how-ai-is-solving-real-utility-challenges/
2025-03-13,An ode to electrochemistry,saved,5140,2025-03-13-an-ode-to-electrochemistry,https://www.latitudemedia.com/news/catalyst-ode-to-electrochemistry/
2025-03-20,The coming robotics wave,saved,6338,2025-03-20-the-coming-robotics-wave,https://www.latitudemedia.com/news/catalyst-the-coming-robotics-wave/
2025-03-27,The potential for flexible data centers | Catalyst,saved,4958,2025-03-27-the-potential-for-flexible-data-centers-catalyst,https://www.latitudemedia.com/news/catalyst-the-potential-for-flexible-data-centers/
2025-04-04,Specialized AI brains for physical industry,saved,6743,2025-04-04-specialized-ai-brains-for-physical-industry,https://www.latitudemedia.com/news/catalyst-specialized-ai-brains-for-physical-industry/
2025-04-17,Serving data center load with carbon capture,saved,5930,2025-04-17-serving-data-center-load-with-carbon-capture,https://www.latitudemedia.com/news/catalyst-serving-data-center-load-with-carbon-capture/
2025-04-24,The geopolitics of rare earth elements,saved,4667,2025-04-24-the-geopolitics-of-rare-earth-elements,https://www.latitudemedia.com/news/catalyst-the-geopolitics-of-rare-earth-elements/
2025-05-01,Catalyst Live at SF Climate Week,saved,7749,2025-05-01-catalyst-live-at-sf-climate-week,https://www.latitudemedia.com/news/catalyst-live-at-sf-climate-week/
2025-05-08,The US nuclear groundswell,saved,6532,2025-05-08-the-us-nuclear-groundswell,https://www.latitudemedia.com/news/catalyst-the-u-s-nuclear-groundswell/
2025-05-22,What to make of Trump's deep-sea minerals push,saved,5557,2025-05-22-what-to-make-of-trump-s-deep-sea-minerals-push,https://www.latitudemedia.com/news/catalyst-what-to-make-of-trumps-deep-sea-minerals-push/
2025-05-29,How geothermal gets built,saved,5692,2025-05-29-how-geothermal-gets-built,https://www.latitudemedia.com/news/catalyst-how-geothermal-gets-built/
2025-06-05,The gas turbine crunch,saved,5620,2025-06-05-the-gas-turbine-crunch,https://www.latitudemedia.com/news/catalyst-the-gas-turbine-crunch/
2025-06-12,The state of play of data center development,saved,6015,2025-06-12-the-state-of-play-of-data-center-development,https://www.latitudemedia.com/news/catalyst-the-state-of-play-of-data-center-development/
2025-06-19,The story of steam,saved,4582,2025-06-19-the-story-of-steam,https://www.latitudemedia.com/news/catalyst-story-of-steam/
2025-06-26,GM's big new battery tech push,saved,5758,2025-06-26-gm-s-big-new-battery-tech-push,https://www.latitudemedia.com/news/catalyst-gms-big-new-battery-tech-push/
2025-07-03,Fresh intel from state utility regulatory filings,saved,5932,2025-07-03-fresh-intel-from-state-utility-regulatory-filings,https://www.latitudemedia.com/news/catalyst-fresh-intel-from-state-utility-regulatory-filings/
2025-07-10,Tumult in residential solar,saved,5738,2025-07-10-tumult-in-residential-solar,https://www.latitudemedia.com/news/catalyst-tumult-in-residential-solar/
2025-07-17,Five big questions emerging from the OBBB,saved,6573,2025-07-17-five-big-questions-emerging-from-the-obbb,https://www.latitudemedia.com/news/catalyst-five-big-questions-obbb/
2025-07-24,Repurposing EV batteries for grid storage,saved,4063,2025-07-24-repurposing-ev-batteries-for-grid-storage,https://www.latitudemedia.com/news/catalyst-repurposing-ev-batteries/
2025-07-31,PJM and the capacity crunch,saved,4157,2025-07-31-pjm-and-the-capacity-crunch,https://www.latitudemedia.com/news/catalyst-pjm-capacity-crunch/
2025-08-14,The case for sodium-ion,saved,7403,2025-08-14-the-case-for-sodium-ion,https://www.latitudemedia.com/news/catalyst-the-case-for-sodium-ion/
2025-08-28,The mechanics of data center flexibility,saved,6019,2025-08-28-the-mechanics-of-data-center-flexibility,https://www.latitudemedia.com/news/catalyst-the-mechanics-of-data-center-flexibility/
2025-09-04,"AMA: Geoengineering, nuclear, power prices, and more",saved,7139,2025-09-04-ama-geoengineering-nuclear-power-prices-and-more,https://www.latitudemedia.com/news/catalyst-ama-geoengineering-nuclear-power-prices/
2025-09-12,When to colocate data centers with generation,saved,6419,2025-09-12-when-to-colocate-data-centers-with-generation,https://www.latitudemedia.com/news/catalyst-when-to-locate-data-centers-with-generation/
2025-09-18,Is now the time for DERs to scale?,saved,5914,2025-09-18-is-now-the-time-for-ders-to-scale,https://www.latitudemedia.com/news/catalyst-is-now-the-time-for-ders-to-scale/
2025-09-25,Ag residue and carbon removal,saved,5976,2025-09-25-ag-residue-and-carbon-removal,https://www.latitudemedia.com/news/catalyst-ag-residue-and-carbon-removal/
2025-10-02,The new wave of DERs,saved,6367,2025-10-02-the-new-wave-of-ders,https://www.latitudemedia.com/news/catalyst-new-wave-of-ders/
2025-10-09,How Base Power plans to use its fresh $1B,saved,7225,2025-10-09-how-base-power-plans-to-use-its-fresh-1b,https://www.latitudemedia.com/news/catalyst-how-base-power-plans-to-use-its-fresh-1b/
2025-10-16,Calibrating hype with Akshat Rathi,saved,6632,2025-10-16-calibrating-hype-with-akshat-rathi,https://www.latitudemedia.com/news/catalyst-calibrating-hype-with-akshat-rathi/
2025-10-23,Five big questions about the future of energy,saved,6669,2025-10-23-five-big-questions-about-the-future-of-energy,https://www.latitudemedia.com/news/catalyst-five-big-questions-about-the-future-of-energy/
2025-10-30,Unpacking DOE's proposal to transform data center interconnection,saved,6709,2025-10-30-unpacking-doe-s-proposal-to-transform-data-center-interconnection,https://www.latitudemedia.com/news/catalyst-unpacking-does-proposal-to-transform-data-center-interconnection/
2025-11-06,Inside a $300 million bet on AI for physical R&D,saved,5761,2025-11-06-inside-a-300-million-bet-on-ai-for-physical-r-d,https://www.latitudemedia.com/news/catalyst-inside-a-300-million-bet-on-ai-for-materials-discovery/
2025-11-13,Driving down the cost of green hydrogen,saved,6193,2025-11-13-driving-down-the-cost-of-green-hydrogen,https://www.latitudemedia.com/news/catalyst-driving-down-the-cost-of-green-hydrogen/
2025-11-20,Looking for a turnaround in transmission,saved,4195,2025-11-20-looking-for-a-turnaround-in-transmission,https://www.latitudemedia.com/news/catalyst-looking-for-a-turnaround-in-transmission/
2025-12-04,Who benefits from the AI power bottleneck?,saved,6592,2025-12-04-who-benefits-from-the-ai-power-bottleneck,https://www.latitudemedia.com/news/catalyst-who-benefits-from-the-ai-power-bottleneck/
2025-12-11,Can AI revolutionize EPC?,saved,6019,2025-12-11-can-ai-revolutionize-epc,https://www.latitudemedia.com/news/catalyst-can-ai-revolutionize-epc/
2025-12-18,Will inference move to the edge?,saved,7478,2025-12-18-will-inference-move-to-the-edge,https://www.latitudemedia.com/news/catalyst-will-inference-move-to-the-edge/
2026-01-02,How AI is changing weather forecasting,saved,7283,2026-01-02-how-ai-is-changing-weather-forecasting,https://www.latitudemedia.com/news/catalyst-how-ai-is-changing-weather-forecasting/
2026-01-08,The VC case for 'full stack deeptech',saved,3449,2026-01-08-the-vc-case-for-full-stack-deeptech,https://www.latitudemedia.com/news/catalyst-the-vc-case-for-full-stack-deeptech/
2026-01-15,"2026 trends: Gas turbines, Texas’ load queue, and China electrifies",saved,6764,2026-01-15-2026-trends-gas-turbines-texas-load-queue-and-china-electrifies,https://www.latitudemedia.com/news/catalyst-2026-trends-gas-turbines-texas-load-queue-and-china-electrifies/
2026-01-20,catalyst-mintz-a-rain-delay-for-the-energy-transition,no transcript,,,https://www.latitudemedia.com/news/catalyst-mintz-a-rain-delay-for-the-energy-transition/
2026-01-22,"More 2026 trends: Solar costs, oil oversupply, and the startup slump",saved,3744,2026-01-22-more-2026-trends-solar-costs-oil-oversupply-and-the-startup-slump,https://www.latitudemedia.com/news/catalyst-more-2026-trends-solar-costs-oil-oversupply-and-the-startup-slump/
2026-01-29,The rise of permissionless DERs,saved,3299,2026-01-29-the-rise-of-permissionless-ders,https://www.latitudemedia.com/news/catalyst-the-rise-of-permissionless-ders/
2026-02-12,PJM and ERCOT are navigating a capacity rollercoaster,saved,1797,2026-02-12-pjm-and-ercot-are-navigating-a-capacity-rollercoaster,https://www.latitudemedia.com/news/catalyst-pjm-and-ercot-are-navigating-a-capacity-rollercoaster/
2026-02-19,The rise of grid power electronics with Drew Baglino,saved,6695,2026-02-19-the-rise-of-grid-power-electronics-with-drew-baglino,https://www.latitudemedia.com/news/catalyst-the-rise-of-grid-power-electronics-with-drew-baglino/
2026-02-25,Volts crossover: Six big energy questions,saved,10425,2026-02-25-volts-crossover-six-big-energy-questions,https://www.latitudemedia.com/news/catalyst-volts-crossover-six-big-energy-questions/
2026-03-05,Digging deep for super hot geothermal,saved,5787,2026-03-05-digging-deep-for-super-hot-geothermal,https://www.latitudemedia.com/news/catalyst-digging-deep-for-super-hot-geothermal/
2026-03-12,"AI scaling pathways: On grid, on edge, off grid, off planet",saved,8168,2026-03-12-ai-scaling-pathways-on-grid-on-edge-off-grid-off-planet,https://www.latitudemedia.com/news/catalyst-ai-scaling-pathways-on-grid-on-edge-off-grid-off-planet/
2026-03-19,Scaling America's domestic solar supply chain,saved,7169,2026-03-19-scaling-america-s-domestic-solar-supply-chain,https://www.latitudemedia.com/news/catalyst-scaling-americas-domestic-solar-supply-chain/
2026-03-26,The state and future of nuclear waste,saved,5824,2026-03-26-the-state-and-future-of-nuclear-waste,https://www.latitudemedia.com/news/catalyst-the-state-and-future-of-nuclear-waste/
2026-04-02,Building a domestic nuclear fuel supply chain,saved,6230,2026-04-02-building-a-domestic-nuclear-fuel-supply-chain,https://www.latitudemedia.com/news/catalyst-building-a-domestic-nuclear-fuel-supply-chain/
2026-04-09,The rise of flexible data centers,saved,7210,2026-04-09-the-rise-of-flexible-data-centers,https://www.latitudemedia.com/news/catalyst-the-rise-of-flexible-data-centers/
2026-04-23,Live from Transition-AI 2026: Inside Google’s massive AI capex,saved,6186,2026-04-23-live-from-transition-ai-2026-inside-google-s-massive-ai-capex,https://www.latitudemedia.com/news/catalyst-live-from-transition-ai-2026-inside-googles-massive-ai-capex/
2026-04-30,How AI is modernizing EPCs,saved,4442,2026-04-30-how-ai-is-modernizing-epcs,https://www.latitudemedia.com/news/catalyst-how-ai-is-modernizing-epcs/
2026-05-07,Has Humble Robotics cracked the code on autonomous trucking?,saved,7548,2026-05-07-has-humble-robotics-cracked-the-code-on-autonomous-trucking,https://www.latitudemedia.com/news/catalyst-has-humble-robotics-cracked-the-code-on-autonomous-trucking/
2026-05-14,Inside the global fertilizer crunch,saved,6969,2026-05-14-inside-the-global-fertilizer-crunch,https://www.latitudemedia.com/news/catalyst-inside-the-global-fertilizer-crunch/
2026-05-21,A blueprint for scalable fusion power,saved,7659,2026-05-21-a-blueprint-for-scalable-fusion-power,https://www.latitudemedia.com/news/catalyst-a-blueprint-for-scalable-fusion-power/
2026-05-28,Building inference data centers on the high seas,saved,7851,2026-05-28-building-inference-data-centers-on-the-high-seas,https://www.latitudemedia.com/news/catalyst-building-inference-data-centers-on-the-high-seas/
2026-06-04,Surprising trends in global electricity generation,saved,7013,2026-06-04-surprising-trends-in-global-electricity-generation,https://www.latitudemedia.com/news/catalyst-surprising-trends-in-global-electricity-generation/
2026-06-11,How China is reshaping the global auto market,saved,5177,2026-06-11-how-china-is-reshaping-the-global-auto-market,https://www.latitudemedia.com/news/catalyst-how-china-is-reshaping-the-global-auto-market/
2026-06-18,Enter the electric supercycle,saved,5458,2026-06-18-enter-the-electric-supercycle,https://www.latitudemedia.com/news/catalyst-enter-the-electric-supercycle/
2026-06-25,How data centers are complicating transmission expansion,saved,4738,2026-06-25-how-data-centers-are-complicating-transmission-expansion,https://www.latitudemedia.com/news/catalyst-how-data-centers-are-complicating-transmission-expansion/
2026-07-01,Inside the most sophisticated plan for solar geoengineering,saved,5124,2026-07-01-inside-the-most-sophisticated-plan-for-solar-geoengineering,https://www.latitudemedia.com/news/catalyst-inside-the-most-sophisticated-plan-for-solar-geoengineering/
2026-07-09,Inside the AI power wars,saved,7626,2026-07-09-inside-the-ai-power-wars,https://www.latitudemedia.com/news/catalyst-inside-the-ai-power-wars/
2026-07-16,When will quantum computing have its breakout moment?,saved,6376,2026-07-16-when-will-quantum-computing-have-its-breakout-moment,https://www.latitudemedia.com/news/catalyst-when-will-quantum-computing-have-its-breakout-moment/
2026-07-23,The multi-billion dollar promise of vehicle-to-grid integration,saved,5280,2026-07-23-the-multi-billion-dollar-promise-of-vehicle-to-grid-integration,https://www.latitudemedia.com/news/catalyst-the-multi-billion-dollar-promise-of-vehicle-to-grid-integration/
2026-07-30,Why C&I storage is finally taking off,saved,8073,2026-07-30-why-c-i-storage-is-finally-taking-off,https://www.latitudemedia.com/news/catalyst-why-ci-storage-is-finally-taking-off/
2026-08-06,The electrician shortage slowing the AI boom,saved,6453,2026-08-06-the-electrician-shortage-slowing-the-ai-boom,https://www.latitudemedia.com/news/catalyst-the-electrician-shortage-slowing-the-ai-boom/
2026-08-20,Can AI revolutionize grid operations?,saved,5931,2026-08-20-can-ai-revolutionize-grid-operations,https://www.latitudemedia.com/news/catalyst-can-ai-revolutionize-grid-operations/
2026-08-27,The rise of metal fuels,saved,7297,2026-08-27-the-rise-of-metal-fuels,https://www.latitudemedia.com/news/catalyst-the-rise-of-metal-fuels/
2026-09-03,What comes after the data center backlash?,saved,8781,2026-09-03-what-comes-after-the-data-center-backlash,https://www.latitudemedia.com/news/catalyst-what-comes-after-the-data-center-backlash/
2026-09-10,Do data centers really increase electricity prices?,saved,6667,2026-09-10-do-data-centers-really-increase-electricity-prices,https://www.latitudemedia.com/news/catalyst-do-data-centers-really-increase-electricity-prices/
2026-09-17,"Fuel cells, geopolitics, and the solar growth curve",saved,3607,2026-09-17-fuel-cells-geopolitics-and-the-solar-growth-curve,https://www.latitudemedia.com/news/catalyst-fuel-cells-geopolitics-and-the-solar-growth-curve/
2026-09-24,Anduril's vision for powering maritime defense,saved,5310,2026-09-24-anduril-s-vision-for-powering-maritime-defense,https://www.latitudemedia.com/news/catalyst-andurils-vision-for-powering-maritime-defense/
